,cid,SMILES,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar,B,Br,C,Cl,F,Fe,H,N,O,P,S,Si,Charged acceptor groups,Charged amidines,Charged amines,Charged donor groups,Charged imidazoles,Charged imines,Charged NH-imidazoles,Donor groups,H-N,H-O,I,Neutral acceptor groups,Neutral donor groups,Acceptor groups,Aliphatic carbons,Amide hydrogens,Amine or amide hydrogens,Aromatic basic nitrogens,Aromatic carbons,Catch for R-CN4,Charged 4-methoxypyridines,Charged pyridines,Divalent oxygens,Heteroaromatic atoms,Imines hydrogens,N-Pyrrole H,Neutral amines,Neutral imidazoles,Reactive groups,t-Butyls,Tetrazoles,Tribromomethyls,Trichloromethyls,Trifluoromethyls,Triiodomethyls,"1,2-Dicarbonyls",Acyl halides,Alcohols,Aldehydes,Aliphatic esters,Aliphatic ketones,Aliphatic thioesters,Alkyl halides,Alkyl halides wo fluorine,Alkyl sulfonates,Anhydrides,Aromatic N-oxides,Aziridines,beta-Heterosubstituted carbonyls,Carbon Thiols,Carbonyls,Catch for uncharged guanine H,Charged N-O,Diazos,Disulfides,Epoxides,Ethers,Formates,Guanidines,Halopyrimidines,Imines,Imines N donors,Imines NH,Michael acceptors,Neutral carbonyls,Neutral halophosphoric acids,Neutral N-O,Neutral NR3-O,Neutral P(=O)2-R2,Neutral P=O-R3,Neutral sulfenes,Neutral sulfones,Nitriles,Nitros,P=O,Perhalomethylketones,Peroxides,Phosphonate esters,R-N-S-R,R-S-O-R,S=O,Sulfenyl halides,Sulfinyl halides,Sulfonyl halides,Sulphonate esters,Tertiary amines or amides,Thiols,Thiones,Amidines,Aromatic carboxylate bioisosteres,Carboxylic acids or carboxylates,Charged C-PO3-,Charged carboxylic acids,Charged halophosphoric acids,Charged hydroxamic acids,Charged O-PO3,Charged phosphonamides,Charged phosphonic acids,Charged phosphoric acids,Charged phosphorylamides,Charged sulfenic acids,Charged sulfonamides,Charged sulfonic acids,Charged sulfuric acids,Hydroxamates,Acetylhydrazides,Acidic hydrogens,Charged 2-aminopyridines,Charged 2-nitrophenols,"Charged 3,5-nitrophenols",Charged 4-aminopyridines,Charged 4-nitrophenols,Charged alkylthiols,Charged anilines,Charged dialkyl anilines,Charged diaminobenzenes,Charged enamines,Charged guanidines,Charged tetrazoles,Actinide series,Alkali metals,Alkaline-earth metals,Lanthanide series,Neutral pyridines,Nitroalkanes,Noble gases,Other metals,Phosphines,Silyl enol ethers,Toxic nonmetals,Transition metals,Azides,Carbodiimides,carbons,Diazoniums,Iron binding groups,Isocyanates,Isonitriles,Isothiocyanates,Metals,Phosphinyl halides,Phosphonyl halides,sp3carbon,Molecular weight,Num aliphatic rings,Num aromatic rings,Num atoms,Num chiral centers,Num heavy atoms,Num heteroaromatic rings,Num molecules,Num negative atoms,Num positive atoms,Num residues,Num rings,Num rotatable bonds,Percent helix,Percent loop,Percent strand,Total charge,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,Jm
0,7,C=C[C@@H]([C@@H]12)C[N@@H+](CC2)[C@@H](C1)[C@H](O)c3ccnc(c34)ccc(c4)OC,325.4247,1.1731,3,1,4,24,5,5,4,46.91,49.167,92.5946,42.26,0,0,20,0,0,0,25,2,2,0,0,0,0,0,1,1,0,0,0,2,1,1,0,1,1,1,20,0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,9,325.43445,2,2,49,5,24,1,1,0,1,1,4,5,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,324.422,3.685,567.069,298.902,63.365,204.80200000000002,0.0,1051.05,1.0,5.45,0.0129225,0.0096108,0.8816134,34.654,10.209,15.626,8.638,3.423,-3.242,-3.218,-5.15,619.309,0.11699999999999999,326.067,-3.548,8.763,0.86,4.0,0.231,3.0,96.959,0.0,0.0,4.0,0.0,0.0,18.0,0.0,18.0,7.0,24.0,0.212598366
1,14,C=C[C@@H]([C@@H]12)C[N@@H+](CC2)[C@@H](C1)[C@H](O)c3ccnc(c34)ccc(c4)OC,325.4247,1.1731,3,1,4,24,5,5,4,46.91,49.167,92.5946,42.26,0,0,20,0,0,0,25,2,2,0,0,0,0,0,1,1,0,0,0,2,1,1,0,1,1,1,20,0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,9,325.43445,2,2,49,5,24,1,1,0,1,1,4,5,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,324.422,3.685,567.069,298.902,63.365,204.80200000000002,0.0,1051.05,1.0,5.45,0.0129225,0.0096108,0.8816134,34.654,10.209,15.626,8.638,3.423,-3.242,-3.218,-5.15,619.309,0.11699999999999999,326.067,-3.548,8.763,0.86,4.0,0.231,3.0,96.959,0.0,0.0,4.0,0.0,0.0,18.0,0.0,18.0,7.0,24.0,0.212598366
2,32,CC(C)=CCC1(CC=C(C)C)C(=O)[C@H](C(=O)CC(C)C)C(=O)[C@H](C1=O)CC=C(C)C,414.5775,5.7076,4,0,9,30,2,2,1,83.902,72.918,124.5597,47.478,0,0,26,0,0,0,38,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,16,414.59036000000003,1,0,68,2,30,0,1,0,0,1,1,9,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,-1.0,414.584,4.92,705.946,603.846,76.712,25.389,0.0,1408.0929999999998,0.0,8.0,0.017189799999999998,0.0,0.8606254999999999,44.661,11.917,18.833,8.007,4.084,-3.9410000000000003,-4.332,-3.908,1855.418,-0.669,964.948,-1.98,9.683,0.053,12.0,0.184,1.0,100.0,0.0,0.0,4.0,0.0,1.0,6.0,0.0,6.0,3.0,30.0,0.497687991
3,36,CC(C)=CC[C@]1(O)C(=O)[C@H](C(=O)CC(C)C)C(=O)[C@H](C1=O)CC=C(C)C,362.4599,3.1848,5,1,7,26,3,3,1,114.11,69.751,102.2567,39.132,0,0,21,0,0,0,30,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,13,362.47025,1,0,56,3,26,0,1,0,0,1,1,8,0,0,0,0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,-2.0,362.465,5.77,596.586,434.48800000000006,144.97,17.127,0.0,1179.22,1.0,8.75,0.028235900000000005,0.0146668,0.9048062,36.065,10.675999999999998,18.242,10.575999999999999,2.095,-2.7030000000000003,-3.264,-3.154,417.972,-1.099,192.688,-3.363,9.716000000000001,0.435,10.0,-0.188,1.0,86.12299999999999,0.0,0.0,5.0,0.0,1.0,6.0,0.0,6.0,3.0,26.0,0.311379797
4,37,c1ccccc1C(=O)[C@H](O)c2ccccc2,212.2439,2.6168,2,1,3,16,1,1,2,45.299,39.334,62.5209,31.015,0,0,14,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,212.25054,0,2,28,1,16,0,1,0,0,1,2,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,212.248,1.903,458.69599999999997,8.471,70.03399999999999,380.191,0.0,754.174,1.0,3.7,0.0048,0.0080663,0.8735492,25.09,8.577,11.47,8.112,2.501,-2.7260000000000004,-2.805,-5.391,2146.66,-0.289,1129.657,-1.087,9.682,0.53,2.0,-0.187,3.0,100.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,12.0,0.0,16.0,32.67811625
5,38,C=C[C@@H]([C@@H]12)C[N@@H+](CC2)[C@@H](C1)[C@H](O)c3ccnc(c34)ccc(c4)OC,325.4247,1.1731,3,1,4,24,5,5,4,46.91,49.167,92.5946,42.26,0,0,20,0,0,0,25,2,2,0,0,0,0,0,1,1,0,0,0,2,1,1,0,1,1,1,20,0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,9,325.43445,2,2,49,5,24,1,1,0,1,1,4,5,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,324.422,3.685,567.069,298.902,63.365,204.80200000000002,0.0,1051.05,1.0,5.45,0.0129225,0.0096108,0.8816134,34.654,10.209,15.626,8.638,3.423,-3.242,-3.218,-5.15,619.309,0.11699999999999999,326.067,-3.548,8.763,0.86,4.0,0.231,3.0,96.959,0.0,0.0,4.0,0.0,0.0,18.0,0.0,18.0,7.0,24.0,0.212598366
6,41,C[C@@]1(O)CC[C@H]([C@@H](C)C(=O)O2)[C@@H]2C(=C3C)[C@@H]1[C@@H]([C@@H]3[C@@]456)[C@H](C=C4C)[C@H]5[C@@](C)(O)CC[C@H]7[C@@H]6OC(=O)[C@H]7C,496.635,3.11,6,2,0,36,14,14,7,107.68799999999999,79.748,133.9793,52.742,0,0,30,0,0,0,40,0,6,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,2,4,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,24,496.6497,7,0,76,14,36,0,1,0,0,1,7,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,496.642,8.746,729.0989999999999,547.2919999999999,155.994,25.813000000000002,0.0,1447.129,2.0,7.5,0.0528625,0.0145475,0.8486266,50.722,13.280999999999999,24.68,12.585999999999999,4.08,-6.432,-6.2860000000000005,-4.104,328.55199999999996,-1.001,148.545,-4.112,9.32,-0.657,10.0,0.9890000000000001,1.0,95.876,0.0,0.0,6.0,0.0,2.0,26.0,0.0,20.0,18.0,36.0,1.42e-05
7,42,C[C@@]([C@@]123)(O3)CC[C@H]4[C@@H]([C@@H]1C(C)=CC2)OC(=O)[C@@H]4C,248.3175,1.9518,3,0,0,18,6,6,4,45.853,37.666,66.9857,26.371,0,0,15,0,0,0,20,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,12,248.32485,4,0,38,6,18,0,1,0,0,1,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,248.321,8.39,508.60699999999997,413.79,53.958,40.859,0.0,859.05,0.0,5.0,0.081933,0.0,0.8592679,28.615,6.8260000000000005,12.492,6.513,2.1390000000000002,-3.237,-1.984,-4.004,3049.42,0.076,1650.941,-2.37,9.64,-0.831,4.0,-0.226,3.0,100.0,0.0,0.0,3.0,0.0,0.0,14.0,3.0,9.0,9.0,18.0,0.6133457370000001
8,43,C=C1C(=O)O[C@@H]([C@H]2C(C)=CC3)[C@H]1CC[C@@]([C@]234)(O4)C,246.3016,1.9664,3,0,0,18,5,5,4,46.777,39.0,66.7891,26.179000000000002,0,0,15,0,0,0,18,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,246.30891,4,0,36,5,18,0,1,0,0,1,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,246.305,8.339,459.775,334.69,57.24,67.845,0.0,804.408,0.0,5.0,0.08644,0.0,0.9097821,26.044,6.813,11.804,6.381,1.791,-2.149,-2.006,-3.315,2838.55,0.042,1527.896,-2.239,9.613,0.062,4.0,-0.42700000000000005,3.0,100.0,0.0,0.0,3.0,0.0,0.0,14.0,3.0,9.0,8.0,18.0,10.06748808
9,44,O1COc(c12)cc(C([O-])=O)c3c2c4c(cc3[N+]([O-])=O)c(OC)ccc4,340.2638,2.2195,3,0,3,25,0,0,4,108.12299999999999,72.67,82.9938,38.575,0,0,17,0,0,0,10,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,17,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,2,340.27175,1,3,35,0,25,0,1,2,1,1,4,3,0,0,0,-1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,-2.0,341.276,8.384,533.76,165.817,156.487,211.456,0.0,927.6360000000001,1.0,5.25,0.0757663,0.0098359,0.8617949,31.063000000000002,9.668,15.561,9.48,2.623,-3.6910000000000003,-5.011,-2.969,82.325,-1.022,42.326,-3.3710000000000004,8.902999999999999,1.574,2.0,-0.14,3.0,76.59,0.0,0.0,8.0,0.0,0.0,17.0,0.0,17.0,1.0,25.0,0.030635106000000002
